app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather,wind_dir,wind_gust_spd,wind_spd
10.0,339.4,87,0.9,0,0,-37.0,0,n,0,1001,interim,53,1016,0,0,10.0,2024-04-09T00:00:00,2024-04-09T04:00:00,1712635200,0.0,16,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}",95,0.0,0.0
9.6,344.1,78,1.5,0,0,-37.5,0,n,0,1001,interim,57,1016,0,0,9.6,2024-04-09T00:15:00,2024-04-09T04:15:00,1712636100,0.0,16,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}",100,0.52,0.52
9.2,348.7,68,1.8,0,0,-38.1,0,n,0,1001,interim,60,1016,0,0,9.2,2024-04-09T00:30:00,2024-04-09T04:30:00,1712637000,0.0,16,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03n'}",100,1.1,1.05
8.7,353.4,59,2.3,0,0,-38.6,0,n,0,1001,interim,64,1016,0,0,8.7,2024-04-09T00:45:00,2024-04-09T04:45:00,1712637900,0.0,16,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03n'}",100,1.6,1.57
8.3,358.1,50,2.8,0,0,-39.1,0,n,0,1001,interim,68,1016,0,0,8.3,2024-04-09T01:00:00,2024-04-09T05:00:00,1712638800,0.0,16,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03n'}",100,2.2,2.1
8.3,272.8,43,2.3,0,0,-38.8,0,n,0,1001,interim,66,1016,0,0,8.3,2024-04-09T01:15:00,2024-04-09T05:15:00,1712639700,0.0,16,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03n'}",100,1.6,1.57
8.3,187.6,37,1.9,0,0,-38.4,0,n,0,1001,interim,64,1016,0,0,8.3,2024-04-09T01:30:00,2024-04-09T05:30:00,1712640600,0.0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",100,1.1,1.05
8.3,102.3,31,1.5,0,0,-38.0,0,n,0,1001,interim,62,1016,0,0,8.3,2024-04-09T01:45:00,2024-04-09T05:45:00,1712641500,0.0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",100,0.52,0.52
8.3,17.0,25,1.0,0,0,-37.7,0,n,0,1001,interim,60,1016,0,0,8.3,2024-04-09T02:00:00,2024-04-09T06:00:00,1712642400,0.0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",100,0.0,0.0
8.0,21.3,25,1.2,0,0,-36.5,0,n,0,1001,interim,62,1016,0,0,8.0,2024-04-09T02:15:00,2024-04-09T06:15:00,1712643300,0.0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",95,0.0,0.0
7.8,25.7,25,1.4,0,0,-35.3,0,n,0,1001,interim,64,1016,0,0,7.8,2024-04-09T02:30:00,2024-04-09T06:30:00,1712644200,0.0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",95,0.0,0.0
7.5,30.0,25,1.5,0,0,-34.1,0,n,0,1001,interim,66,1016,0,0,7.5,2024-04-09T02:45:00,2024-04-09T06:45:00,1712645100,0.0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",95,0.0,0.0
7.2,34.3,25,1.7,0,0,-32.9,0,n,0,1001,interim,68,1016,0,0,7.2,2024-04-09T03:00:00,2024-04-09T07:00:00,1712646000,0.0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",95,0.0,0.0
6.4,38.0,18,1.4,0,0,-31.1,0,n,0,1001,interim,70,1016,0,0,6.5,2024-04-09T03:15:00,2024-04-09T07:15:00,1712646900,0.0,16,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}",95,0.0,0.0
5.6,41.7,12,1.3,0,0,-29.3,0,n,0,1001,interim,73,1016,0,0,5.8,2024-04-09T03:30:00,2024-04-09T07:30:00,1712647800,0.0,16,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}",95,0.0,0.0
4.8,45.4,6,1.2,0,0,-27.4,0,n,0,1001,interim,76,1016,0,0,5.1,2024-04-09T03:45:00,2024-04-09T07:45:00,1712648700,0.0,16,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}",95,0.0,0.0
4.1,49.2,0,1.1,0,0,-25.6,0,n,0,1001,interim,79,1016,0,0,4.4,2024-04-09T04:00:00,2024-04-09T08:00:00,1712649600,0.0,16,"{'description': 'Clear Sky', 'code': 800, 'icon': 'c01n'}",90,0.0,0.0
5.9,52.3,0,1.2,0,0,-23.3,0,n,0,1001,interim,79,1016,0,0,4.5,2024-04-09T04:15:00,2024-04-09T08:15:00,1712650500,0.0,16,"{'description': 'Clear Sky', 'code': 800, 'icon': 'c01n'}",90,0.4,0.37
4.9,55.5,0,1.6,0,0,-21.1,0,n,0,1001,interim,80,1016,0,0,4.7,2024-04-09T04:30:00,2024-04-09T08:30:00,1712651400,0.0,16,"{'description': 'Clear Sky', 'code': 800, 'icon': 'c01n'}",90,0.8,0.75
4.3,58.7,0,1.9,0,0,-18.8,0,n,0,1001,interim,81,1016,0,0,4.8,2024-04-09T04:45:00,2024-04-09T08:45:00,1712652300,0.0,16,"{'description': 'Clear Sky', 'code': 800, 'icon': 'c01n'}",90,1.2,1.12
3.9,61.8,0,2.2,0,0,-16.6,0,n,0,1001,interim,82,1016,0,0,5.0,2024-04-09T05:00:00,2024-04-09T09:00:00,1712653200,0.0,16,"{'description': 'Clear Sky', 'code': 800, 'icon': 'c01n'}",90,1.6,1.5
3.9,64.6,6,2.0,0,0,-14.0,0,n,0,1001,interim,80,1016,0,0,5.2,2024-04-09T05:15:00,2024-04-09T09:15:00,1712654100,0.0,16,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}",90,1.7,1.65
3.9,67.4,12,1.8,0,0,-11.5,0,n,0,1001,interim,78,1016,0,0,5.3,2024-04-09T05:30:00,2024-04-09T09:30:00,1712655000,0.0,16,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}",95,1.9,1.8
3.9,70.2,18,1.7,0,0,-9.0,0,n,0,1001,interim,77,1016,0,0,5.4,2024-04-09T05:45:00,2024-04-09T09:45:00,1712655900,0.0,16,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}",100,2.0,1.95
4.0,73.0,25,1.5,0,0,-6.5,0,n,0,1001,interim,75,1016,0,0,5.6,2024-04-09T06:00:00,2024-04-09T10:00:00,1712656800,0.0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",100,2.2,2.1
3.7,75.5,31,1.6,8,65,-3.8,10,d,0,1001,interim,76,1016,0,10,5.4,2024-04-09T06:15:00,2024-04-09T10:15:00,1712657700,0.0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",100,2.3,2.22
3.4,78.1,37,1.6,16,129,-1.1,21,d,0,1001,interim,77,1016,0,20,5.3,2024-04-09T06:30:00,2024-04-09T10:30:00,1712658600,0.0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",100,2.5,2.35
3.1,80.7,43,1.6,23,194,1.6,31,d,0,1001,interim,78,1017,0,29,5.2,2024-04-09T06:45:00,2024-04-09T10:45:00,1712659500,1.2,16,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03n'}",100,2.6,2.47
2.8,83.3,50,1.7,31,258,4.3,41,d,0,1002,interim,79,1017,0,38,5.0,2024-04-09T07:00:00,2024-04-09T11:00:00,1712660400,1.2,16,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03n'}",100,2.8,2.6
3.9,85.8,59,2.0,40,342,7.0,85,d,0,1002,interim,77,1017,0,72,5.7,2024-04-09T07:15:00,2024-04-09T11:15:00,1712661300,1.1,16,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03d'}",100,2.5,2.32
